distance_mm,az_deg,el_deg,gain_floor,score,success,amp_00,amp_01,amp_02,amp_03,amp_04,amp_05,amp_06,amp_07,amp_08,amp_09,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59
500,20.000,0.000,0.150,-16.008469,1,0.413953,1.000000,1.000000,0.804346,1.000000,0.000000,0.177847,0.502082,0.460488,0.906883,0.402031,1.000000,0.499357,1.000000,0.999999,0.998466,0.999977,0.105774,0.820489,0.585710,1.000000,0.719769,0.611986,0.787462,0.427087,0.999995,1.000000,1.000000,0.999992,0.765696,0.969638,0.806206,1.000000,0.763234,0.506734,0.694362,0.798419,1.000000,0.999997,0.311015,1.000000,1.000000,1.000000,0.490001,0.000000,0.999910,0.822755,0.570524,1.000000,0.000000,0.999483,1.000000,0.999998,1.000000,1.000000,1.000000,1.000000,0.999907,0.999984,0.999721
500,25.000,0.000,0.150,-16.313937,1,0.499762,1.000000,1.000000,0.637547,0.999931,0.000000,0.273274,0.506204,0.535441,0.823979,0.330558,1.000000,0.491882,1.000000,0.999999,1.000000,1.000000,0.203610,0.745028,0.670771,0.999777,0.610055,0.571143,0.612259,0.461294,1.000000,1.000000,1.000000,1.000000,0.818726,1.000000,0.826126,1.000000,0.894778,0.589011,0.684983,0.723235,0.836957,1.000000,0.000000,1.000000,0.999997,1.000000,0.441666,0.000000,1.000000,0.997453,0.049967,1.000000,0.000000,0.999999,1.000000,1.000000,0.999911,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000
500,30.000,0.000,0.150,-15.888850,1,0.440267,1.000000,1.000000,0.782214,1.000000,0.000000,0.286656,0.658618,0.367848,0.767559,0.485507,0.816627,0.392891,1.000000,1.000000,1.000000,1.000000,0.634128,0.856026,0.804501,1.000000,0.582687,0.560170,0.530374,0.656697,0.999834,1.000000,1.000000,0.999427,1.000000,1.000000,0.891872,0.574557,1.000000,0.759672,0.397580,0.269142,0.000000,1.000000,0.000000,0.999980,0.970257,0.999433,0.925573,0.000000,0.568248,0.999123,0.000000,0.998673,0.999222,1.000000,1.000000,0.999161,0.942749,1.000000,0.999997,1.000000,0.999988,0.999790,0.000000
1000,-30.000,0.000,0.150,-14.763749,1,0.999987,0.999994,1.000000,0.999999,1.000000,1.000000,1.000000,0.999998,1.000000,1.000000,0.999997,0.537209,0.999915,0.999967,0.917034,0.999852,0.999991,1.000000,0.834930,0.000000,0.000000,0.999979,0.044989,0.999977,0.717533,1.000000,0.999999,0.773929,0.999992,0.000000,0.000000,0.000000,0.526694,0.999995,0.000000,0.999973,0.999992,1.000000,0.999998,1.000000,1.000000,0.868423,0.999600,0.999992,0.823307,1.000000,0.445431,1.000000,0.999998,1.000000,1.000000,0.999997,1.000000,0.770288,0.851018,0.856679,0.077259,0.957790,0.395459,0.999996
1000,-25.000,0.000,0.150,-14.456504,1,1.000000,0.999561,0.999984,1.000000,0.999944,0.000000,0.999997,1.000000,1.000000,1.000000,1.000000,0.373498,0.000000,0.127133,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.656083,0.780676,1.000000,1.000000,0.774445,1.000000,0.000000,0.376532,0.588652,0.874782,0.775303,0.000000,0.999984,0.880781,0.999996,1.000000,1.000000,1.000000,0.868091,0.999972,0.997563,0.723583,0.999933,0.493714,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.788553,0.644032,0.710821,0.000000,0.999995,0.367494,1.000000
1000,-20.000,0.000,0.150,-14.073524,1,1.000000,0.999967,1.000000,0.999034,1.000000,1.000000,1.000000,1.000000,0.999339,0.999926,1.000000,1.000000,1.000000,1.000000,0.997737,0.000000,0.999985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.595634,1.000000,1.000000,0.999995,1.000000,0.000000,0.626260,0.858548,0.999967,0.955256,0.191315,1.000000,0.999968,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.853333,0.678494,1.000000,0.517725,0.764225,1.000000,0.999975,1.000000,1.000000,1.000000,0.504938,0.343399,0.470070,0.000000,1.000000,0.000000,1.000000
1000,-15.000,0.000,0.150,-14.357849,1,1.000000,1.000000,1.000000,1.000000,0.999984,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999993,1.000000,1.000000,1.000000,0.606085,1.000000,0.000000,0.000000,0.524473,0.000000,0.000000,0.000000,1.000000,0.648245,1.000000,1.000000,1.000000,1.000000,0.391781,0.595873,0.999994,0.995568,0.999997,0.272933,0.997155,0.999999,1.000000,1.000000,1.000000,1.000000,0.999995,1.000000,1.000000,0.396451,1.000000,0.562836,0.913847,1.000000,1.000000,1.000000,1.000000,1.000000,0.575553,0.240226,0.000000,0.000000,1.000000,0.000000,1.000000
1000,-10.000,0.000,0.150,-14.610208,1,0.999894,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.999448,0.009696,0.999914,0.999773,1.000000,0.999964,0.830227,1.000000,0.000000,0.000000,0.627810,0.099332,0.295040,0.000000,0.999868,0.764196,1.000000,1.000000,1.000000,1.000000,0.998148,0.789620,0.999058,0.819871,1.000000,0.393024,1.000000,1.000000,1.000000,0.999965,1.000000,1.000000,0.999335,0.999908,0.878180,0.113554,1.000000,0.634005,1.000000,0.824867,1.000000,1.000000,1.000000,1.000000,0.824921,0.200045,0.000000,0.000000,0.999982,0.000000,1.000000
1000,-5.000,0.000,0.150,-14.656004,1,0.000000,1.000000,0.444832,1.000000,0.999820,1.000000,0.000000,0.006574,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999525,0.000000,0.042266,1.000000,0.289583,0.831925,0.316301,1.000000,0.841118,1.000000,1.000000,1.000000,0.999993,0.999994,1.000000,1.000000,1.000000,1.000000,0.559378,1.000000,1.000000,0.999999,1.000000,0.999998,1.000000,0.999950,1.000000,0.539038,0.020936,1.000000,0.524517,1.000000,0.526864,0.999993,1.000000,0.571927,1.000000,1.000000,0.186235,0.000000,0.000000,1.000000,0.000000,0.765957
1000,0.000,0.000,0.150,-15.033589,1,0.297141,0.999988,0.000000,0.999997,0.005312,0.000000,0.000000,0.041405,0.999999,0.000000,0.000000,0.574717,1.000000,1.000000,1.000000,1.000000,0.999983,0.000000,0.493295,0.999985,0.630130,0.770836,0.586436,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,0.524059,1.000000,0.998197,0.999999,1.000000,1.000000,1.000000,1.000000,1.000000,0.495627,0.000000,1.000000,0.192921,0.999993,0.000000,0.995373,1.000000,0.000000,1.000000,1.000000,0.078653,0.000000,0.000000,0.941070,0.000000,0.217826
