distance_mm,az_deg,el_deg,gain_floor,score,success,amp_00,amp_01,amp_02,amp_03,amp_04,amp_05,amp_06,amp_07,amp_08,amp_09,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59
500,20.000,0.000,0.500,-23.405356,0,0.223924,0.975457,0.689741,0.556184,0.778103,0.000000,0.244311,0.354917,0.327368,0.342378,0.238935,0.752403,0.228169,0.699284,0.667308,0.537046,0.585142,0.028565,0.514235,0.369849,0.650453,0.299632,0.224981,0.372025,0.158097,0.873454,0.999990,0.796031,0.799048,0.476818,0.486650,0.492686,0.833696,0.317759,0.251425,0.326448,0.327042,0.832645,0.999974,0.229288,0.479970,0.578179,0.954168,0.627445,0.000000,0.825284,0.423717,0.113814,0.999995,0.553166,0.150626,0.999953,1.000000,1.000000,0.999969,0.999982,0.759629,0.851235,0.999995,0.998944
500,25.000,0.000,0.500,-24.432338,0,0.199537,0.907297,0.702826,0.459450,0.774995,0.000000,0.232258,0.351489,0.282731,0.373192,0.227853,0.648304,0.231252,0.719693,0.690283,0.566119,0.594111,0.193740,0.498637,0.398915,0.659763,0.316264,0.297806,0.315266,0.133474,0.834278,0.999922,0.834647,0.828712,0.496326,0.528427,0.498960,0.697225,0.428698,0.309161,0.256625,0.183097,0.832678,0.999958,0.000000,0.894735,0.624864,0.999743,0.801791,0.000000,0.695524,0.485295,0.000000,0.999779,0.112763,0.999892,1.000000,1.000000,0.999901,0.999964,1.000000,0.984922,0.999057,1.000000,0.000000
500,30.000,0.000,0.500,-22.352156,0,0.241670,0.850191,0.631378,0.411547,0.627879,0.000000,0.164543,0.347641,0.255935,0.312243,0.220645,0.473112,0.193592,0.710139,0.763819,0.673344,0.617372,0.353741,0.488565,0.421750,0.712359,0.365132,0.345220,0.267224,0.287779,0.897675,0.999942,0.968679,0.967781,0.566648,0.663579,0.524051,0.510887,0.549876,0.419754,0.225709,0.278563,0.059899,0.999956,0.000000,0.938116,0.000000,0.999993,1.000000,0.000000,0.704893,0.634553,0.000000,1.000000,0.000000,1.000000,1.000000,0.999967,0.659328,0.999986,0.999729,0.988118,1.000000,1.000000,0.348014
1000,-30.000,0.000,0.500,-21.261391,0,0.528495,0.000000,0.999929,1.000000,0.999983,1.000000,1.000000,0.999935,0.999999,0.950356,0.999998,0.889776,0.810477,0.308620,0.484653,0.946866,0.704171,0.999885,0.000000,0.000000,0.000000,0.999977,0.000000,0.999987,0.319049,0.999988,0.528861,0.003068,0.320648,0.000000,0.000000,0.058800,0.309224,0.548211,0.000000,0.597180,0.552470,0.955686,0.673109,0.699330,0.695841,0.576526,0.475999,0.514010,0.414895,0.160925,0.281843,0.132411,0.609713,0.945905,0.985501,0.802019,0.631899,0.448161,0.335765,0.386270,0.071393,0.347854,0.209960,0.362733
1000,-25.000,0.000,0.500,-20.711340,0,0.999880,0.711385,0.999732,1.000000,0.999973,0.442389,0.999878,0.999967,0.999989,0.999871,0.999991,0.253593,0.432865,0.010273,0.000000,0.000000,0.006488,0.000000,0.000000,0.000000,0.000000,0.434027,0.000000,0.999198,0.602628,0.999998,0.678539,0.266368,0.479664,0.097052,0.049519,0.232528,0.462440,0.541025,0.000000,0.295851,0.398999,0.860363,0.634634,0.643851,0.747744,0.472625,0.494642,0.452059,0.318579,0.089076,0.347659,0.207404,0.682973,0.996627,0.999783,0.859538,0.627641,0.376599,0.312045,0.226763,0.211209,0.582590,0.151550,0.543314
1000,-20.000,0.000,0.500,-20.704344,0,1.000000,1.000000,1.000000,0.521704,1.000000,0.000000,0.999991,0.999912,0.435119,1.000000,0.999860,0.000000,0.656014,0.968715,0.363312,0.000000,0.144328,0.000000,0.000000,0.000000,0.000225,0.000000,0.000000,0.855639,0.517728,0.999999,0.745721,0.518361,0.538777,0.433203,0.296262,0.337879,0.453270,0.479400,0.070534,0.266626,0.487398,0.889513,0.785497,0.624737,0.808540,0.308256,0.532861,0.462929,0.277359,0.277291,0.356300,0.266467,0.580806,0.999965,0.889344,0.796450,0.507569,0.397648,0.096414,0.058819,0.425065,0.722421,0.000000,0.585020
1000,-15.000,0.000,0.500,-20.512929,0,0.822643,1.000000,1.000000,1.000000,1.000000,0.400553,1.000000,1.000000,1.000000,0.580645,0.999954,0.000000,0.932634,0.999846,0.384168,0.000000,0.335714,0.000000,0.000000,0.000000,0.156543,0.000000,0.000000,0.889959,0.433351,1.000000,0.810066,0.702806,0.651448,0.402883,0.411722,0.441834,0.326840,0.429629,0.134510,0.342523,0.659428,0.825700,0.778234,0.628260,0.785917,0.392902,0.485841,0.412307,0.289154,0.382092,0.325498,0.271488,0.413397,0.999999,0.704932,0.923378,0.351162,0.452618,0.000000,0.000000,0.081344,0.875541,0.000000,0.509218
1000,-10.000,0.000,0.500,-20.217543,0,0.252199,0.510779,1.000000,1.000000,0.999241,1.000000,0.491639,0.770422,0.999985,0.711503,0.323291,0.000000,0.857605,0.999945,0.176732,0.000000,0.405074,0.000000,0.000000,0.100339,0.000000,0.000000,0.000000,0.562487,0.411441,1.000000,0.871922,0.813614,0.677419,0.512195,0.536502,0.447158,0.401156,0.349639,0.264995,0.376974,0.784358,0.825043,0.715366,0.805520,0.782447,0.369676,0.516682,0.314777,0.182485,0.304589,0.327141,0.412317,0.326957,0.999971,0.780163,0.882169,0.396705,0.612770,0.000000,0.000000,0.000000,0.980446,0.000000,0.579454
1000,-5.000,0.000,0.500,-20.087836,0,0.000000,0.000000,0.360802,0.782111,0.197973,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.377601,0.730766,0.999982,0.442676,0.400137,0.481825,0.000000,0.099714,0.241002,0.000000,0.278226,0.093685,0.333933,0.482023,0.999948,0.809885,0.828985,0.843365,0.750566,0.654811,0.495862,0.326906,0.306665,0.418959,0.474980,0.830201,0.752805,0.697088,0.931793,0.698598,0.270085,0.381618,0.208269,0.000000,0.400166,0.074020,0.422025,0.000000,0.999980,0.784246,0.223824,0.464836,0.976638,0.000000,0.000000,0.000000,0.791622,0.000000,0.466407
1000,0.000,0.000,0.500,-19.817112,1,0.258207,0.862844,0.000000,0.258387,0.000000,0.000097,0.000000,0.147507,0.999201,0.000000,0.000000,0.665276,0.512570,1.000000,0.492005,0.494239,0.583555,0.000000,0.243534,0.410915,0.095110,0.248283,0.199858,0.336626,1.000000,0.999705,0.937792,0.996363,1.000000,0.626832,0.653347,0.503175,0.536349,0.318380,0.426238,0.368538,0.465482,0.938404,0.762806,0.956990,0.644745,0.362871,0.385620,0.096897,0.000000,0.585301,0.026272,0.532202,0.066937,0.352347,0.998451,0.000000,0.691441,0.999437,0.000000,0.000000,0.000000,0.176107,0.000000,0.144861
