distance_m,az_deg,el_deg,mode,peak_offset_az_deg,peak_offset_el_deg,peak_offset_deg,peak_db,max_sidelobe_offset_az_deg,max_sidelobe_offset_el_deg,max_sidelobe_offset_deg,max_sidelobe_db,peak_direction_pass
0.5,-29.999999999999996,0.0,uniform,0.000000,0.000000,0.000000,0.000000,11.454545,-18.000000,21.335572,-11.256452,1
0.5,-29.999999999999996,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,11.454545,-18.000000,21.335572,-9.789519,1
0.5,-29.999999999999996,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,9.818182,0.000000,9.818182,-5.461908,1
0.5,-29.999999999999996,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-13.825159,1
0.5,-29.999999999999996,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,-8.181818,0.000000,8.181818,-13.012277,1
0.5,-29.999999999999996,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-8.181818,0.000000,8.181818,-11.712967,1
0.5,-25.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-18.000000,-14.727273,23.257097,-11.667996,1
0.5,-25.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-10.186396,1
0.5,-25.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,9.818182,0.000000,9.818182,-5.520479,1
0.5,-25.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-13.106087,1
0.5,-25.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-13.896502,1
0.5,-25.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-8.181818,0.000000,8.181818,-13.036741,1
0.5,-20.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-18.000000,-14.727273,23.257097,-11.176398,1
0.5,-20.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-10.355588,1
0.5,-20.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-5.594563,1
0.5,-20.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-12.881229,1
0.5,-20.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-13.544101,1
0.5,-20.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-14.061356,1
0.5,-14.999999999999998,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-18.000000,-14.727273,23.257097,-10.792313,1
0.5,-14.999999999999998,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-10.450471,1
0.5,-14.999999999999998,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-5.518115,1
0.5,-14.999999999999998,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-12.439655,1
0.5,-14.999999999999998,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-13.147016,1
0.5,-14.999999999999998,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-13.432478,1
0.5,-10.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-18.000000,-14.727273,23.257097,-10.426554,1
0.5,-10.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-10.512876,1
0.5,-10.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-5.475927,1
0.5,-10.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-11.944940,1
0.5,-10.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-12.752853,1
0.5,-10.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-12.906540,1
0.5,-5.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-18.000000,-14.727273,23.257097,-10.526567,1
0.5,-5.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-10.821385,1
0.5,-5.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-5.488940,1
0.5,-5.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-12.076619,1
0.5,-5.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-12.850634,1
0.5,-5.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-12.716311,1
0.5,0.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-10.614869,1
0.5,0.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-10.893799,1
0.5,0.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-5.487152,1
0.5,0.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,9.818182,-18.000000,20.503578,-12.775775,1
0.5,0.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-12.703083,1
0.5,0.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-12.609843,1
0.5,5.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-9.926503,1
0.5,5.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-10.950673,1
0.5,5.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-5.491561,1
0.5,5.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,-9.818182,18.000000,20.503578,-13.328421,1
