distance_mm,az_deg,el_deg,gain_floor,score,success,amp_00,amp_01,amp_02,amp_03,amp_04,amp_05,amp_06,amp_07,amp_08,amp_09,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59
500,25.000,0.000,0.250,-24.950242,0,0.096126,0.366244,0.381320,0.204755,0.316193,0.000000,0.081489,0.151552,0.132594,0.158531,0.117493,0.313632,0.108002,0.332692,0.299034,0.255977,0.281563,0.025812,0.212557,0.178077,0.270931,0.102785,0.140522,0.159333,0.068048,0.373265,0.490381,0.391227,0.389985,0.230310,0.261447,0.235706,0.436553,0.198229,0.146523,0.126446,0.118394,0.694149,0.858023,0.036799,0.482971,0.349182,0.546023,0.433945,0.000000,0.265070,0.235697,0.000000,0.653190,0.435325,0.999817,0.947203,1.000000,0.518650,0.999994,1.000000,0.687213,0.619344,0.999916,0.000000
500,30.000,0.000,0.250,-23.068755,0,0.096505,0.334012,0.294980,0.160996,0.224338,0.000000,0.070211,0.141779,0.139896,0.108701,0.071086,0.203524,0.086340,0.327673,0.340427,0.311612,0.285431,0.161747,0.224896,0.212117,0.304368,0.132802,0.139182,0.128632,0.121624,0.478218,0.629440,0.484290,0.486651,0.275337,0.313415,0.297315,0.295509,0.301232,0.209830,0.100219,0.190344,0.595510,0.999945,0.000000,0.521808,0.060013,0.892154,0.832199,0.000000,0.295911,0.244665,0.000000,0.486805,0.165678,0.999961,0.675519,1.000000,0.417889,0.999677,1.000000,0.703790,0.748898,0.932628,0.114839
1000,-30.000,0.000,0.250,-22.235537,0,0.474846,0.028299,0.999979,0.999781,0.999309,0.981474,0.999802,1.000000,0.850415,0.617093,1.000000,0.256553,0.118168,0.220048,0.411921,0.575619,0.224674,0.936351,0.000000,0.076247,0.000000,0.559435,0.000000,0.710049,0.220195,0.611306,0.377856,0.091853,0.214507,0.014341,0.000000,0.075236,0.054223,0.326650,0.043780,0.193631,0.200828,0.353421,0.302664,0.272367,0.225310,0.227958,0.144946,0.194747,0.211394,0.096868,0.129661,0.098127,0.265297,0.445526,0.452919,0.353694,0.276011,0.209534,0.250580,0.197491,0.000000,0.133685,0.095028,0.126592
1000,-25.000,0.000,0.250,-21.202364,0,0.668972,0.554604,0.924224,0.385520,0.999960,0.453304,1.000000,1.000000,0.635243,1.000000,1.000000,0.309643,0.175526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.276665,0.000000,0.297166,0.332320,0.581927,0.371455,0.164728,0.203052,0.058518,0.050566,0.173967,0.220186,0.212427,0.000000,0.123470,0.140457,0.316887,0.266270,0.256783,0.266876,0.161356,0.173033,0.194059,0.157452,0.040810,0.147983,0.094149,0.306175,0.463048,0.522952,0.432821,0.353922,0.203828,0.155545,0.117848,0.109051,0.233341,0.124375,0.260463
1000,-20.000,0.000,0.250,-21.263683,0,0.948463,0.479283,0.999945,0.513138,1.000000,0.130232,0.999970,0.999999,0.029092,0.999922,0.999861,0.000000,0.211525,0.638658,0.294488,0.000000,0.000000,0.000000,0.000000,0.000000,0.132398,0.000000,0.000000,0.191737,0.287784,0.495785,0.390144,0.227657,0.235540,0.266827,0.180971,0.204521,0.218165,0.191853,0.019227,0.121400,0.155177,0.335869,0.328198,0.267785,0.352247,0.077907,0.184738,0.197626,0.102759,0.116922,0.175570,0.121835,0.318447,0.574439,0.499497,0.343517,0.205519,0.276095,0.002430,0.088371,0.320705,0.328342,0.000000,0.271524
1000,-15.000,0.000,0.250,-21.099953,0,0.288787,0.575953,1.000000,0.999845,0.999725,0.296363,1.000000,0.999588,0.892542,0.320798,0.999999,0.000000,0.483178,0.467200,0.172458,0.000000,0.165477,0.000000,0.000000,0.000000,0.012142,0.000000,0.000000,0.449154,0.175688,0.513997,0.382175,0.263032,0.308535,0.208048,0.200265,0.182493,0.191695,0.211075,0.019148,0.155316,0.268085,0.312359,0.335018,0.277188,0.345009,0.161974,0.231460,0.152152,0.131885,0.152365,0.168671,0.095431,0.203982,0.791815,0.425636,0.456832,0.129488,0.374027,0.000000,0.123205,0.132796,0.393206,0.000000,0.255624
1000,-10.000,0.000,0.250,-21.003670,0,0.213343,0.000000,0.999992,0.999971,0.886386,0.988062,0.358314,0.702690,1.000000,0.575299,0.013198,0.000000,0.450838,0.687317,0.236235,0.000000,0.217982,0.000000,0.000000,0.000000,0.000000,0.112320,0.000000,0.366889,0.206271,0.493225,0.373300,0.372465,0.338328,0.278239,0.248883,0.176051,0.175351,0.152220,0.106681,0.208928,0.315060,0.249571,0.283916,0.393790,0.292920,0.126900,0.214746,0.203368,0.086280,0.131337,0.164173,0.123489,0.262814,0.997751,0.392358,0.538139,0.268254,0.530917,0.068852,0.000000,0.000000,0.451586,0.000000,0.355921
1000,-5.000,0.000,0.350,-20.234133,0,0.000000,0.000000,0.184360,0.370120,0.000000,0.998599,0.000000,0.000000,0.999968,0.000000,0.000000,0.141561,0.521140,0.967955,0.398572,0.286350,0.339956,0.000000,0.086040,0.180791,0.000000,0.164447,0.070748,0.276602,0.371965,0.829498,0.644995,0.630106,0.639149,0.569056,0.503590,0.344014,0.321903,0.182567,0.290619,0.327931,0.581735,0.384364,0.408250,0.613253,0.446971,0.091514,0.280493,0.166573,0.000000,0.296437,0.079804,0.273393,0.009237,1.000000,0.674346,0.232165,0.431948,0.919095,0.000000,0.000000,0.000000,0.502682,0.000000,0.384827
1000,0.000,0.000,0.500,-19.817112,1,0.258207,0.862844,0.000000,0.258387,0.000000,0.000097,0.000000,0.147507,0.999201,0.000000,0.000000,0.665276,0.512570,1.000000,0.492005,0.494239,0.583555,0.000000,0.243534,0.410915,0.095110,0.248283,0.199858,0.336626,1.000000,0.999705,0.937792,0.996363,1.000000,0.626832,0.653347,0.503175,0.536349,0.318380,0.426238,0.368538,0.465482,0.938404,0.762806,0.956990,0.644745,0.362871,0.385620,0.096897,0.000000,0.585301,0.026272,0.532202,0.066937,0.352347,0.998451,0.000000,0.691441,0.999437,0.000000,0.000000,0.000000,0.176107,0.000000,0.144861
1000,5.000,0.000,0.250,-20.300190,0,0.116855,0.999575,0.463131,0.325338,0.000000,0.000000,0.000000,0.189462,0.995192,0.412648,0.000000,0.678139,0.466504,0.625532,0.270525,0.417710,0.516626,0.232795,0.290984,0.279483,0.064882,0.116589,0.238322,0.270601,0.633141,0.900388,0.825857,0.745984,0.812732,0.394256,0.478553,0.385738,0.372297,0.256773,0.248306,0.184259,0.211863,0.512148,0.465809,0.486960,0.173194,0.189739,0.195693,0.000000,0.000000,0.395037,0.027007,0.366285,0.000000,0.306253,0.684256,0.496662,0.999713,0.999258,0.000000,0.000000,0.815710,0.000000,0.000000,0.469449
